GeoFips,GeoName,deno code,2015employment by industry,2015 robot data,industry_ifr19,2010 employment by industry,2010employment
21000,Kentucky,110,21936,634,metal_products,781591.6691,2412688.052
21000,Kentucky,111,54674,268,mineral,346305.5571,2412688.052
21000,Kentucky,113,36180,66,paper,1453345.662,2412688.052
21000,Kentucky,114,30907,2425,petrochemicals,1451592.993,2412688.052
21000,Kentucky,116,10503422,133,services,86920501.63,2412688.052
21000,Kentucky,117,20294,36,textiles,351605.6418,2412688.052
21000,Kentucky,118,6928,0,utilities,797323.46,2412688.052
21000,Kentucky,119,225565,128,vehicles_other,610364.6973,2412688.052
22000,Louisiana,101,75120,18,agriculture,1080677.841,2552288.436
22000,Louisiana,102,32764,28955,automotive,566138.6104,2552288.436
22000,Louisiana,103,407144,12,construction,5359624.691,2552288.436
22000,Louisiana,104,70938,12487,electronics,1495060.882,2552288.436
22000,Louisiana,105,495368,1094,food,1483030.717,2552288.436
22000,Louisiana,106,8755,34,furniture,710651.4812,2552288.436
22000,Louisiana,107,327996,29645,manufacturing_other,245234.5955,2552288.436
22000,Louisiana,108,3796,5107,metal_basic,643096.4444,2552288.436
22000,Louisiana,109,16451,333,metal_machinery,1140434.235,2552288.436
22000,Louisiana,110,21872,634,metal_products,781591.6691,2552288.436
22000,Louisiana,111,159821,268,mineral,346305.5571,2552288.436
22000,Louisiana,113,22779,66,paper,1453345.662,2552288.436
22000,Louisiana,114,45471,2425,petrochemicals,1451592.993,2552288.436
22000,Louisiana,116,11827857,133,services,86920501.63,2552288.436
22000,Louisiana,117,23993,36,textiles,351605.6418,2552288.436
22000,Louisiana,118,9101,0,utilities,797323.46,2552288.436
22000,Louisiana,119,191061,128,vehicles_other,610364.6973,2552288.436
23000,Maine,101,33355,18,agriculture,1080677.841,799673.322
23000,Maine,102,11262,28955,automotive,566138.6104,799673.322
23000,Maine,103,111401,12,construction,5359624.691,799673.322
23000,Maine,104,21043,12487,electronics,1495060.882,799673.322
23000,Maine,105,148464,1094,food,1483030.717,799673.322
23000,Maine,106,3474,34,furniture,710651.4812,799673.322
23000,Maine,107,117038,29645,manufacturing_other,245234.5955,799673.322
23000,Maine,109,2645,333,metal_machinery,1140434.235,799673.322
23000,Maine,110,5312,634,metal_products,781591.6691,799673.322
23000,Maine,111,3047,268,mineral,346305.5571,799673.322
23000,Maine,113,15739,66,paper,1453345.662,799673.322
23000,Maine,114,6985,2425,petrochemicals,1451592.993,799673.322
23000,Maine,116,3616536,133,services,86920501.63,799673.322
23000,Maine,117,10101,36,textiles,351605.6418,799673.322
23000,Maine,118,1836,0,utilities,797323.46,799673.322
23000,Maine,119,49820,128,vehicles_other,610364.6973,799673.322
24000,Maryland,101,34362,18,agriculture,1080677.841,3585375.792
24000,Maryland,102,40524,28955,automotive,566138.6104,3585375.792
24000,Maryland,103,474697,12,construction,5359624.691,3585375.792
24000,Maryland,104,121112,12487,electronics,1495060.882,3585375.792
24000,Maryland,105,573259,1094,food,1483030.717,3585375.792
24000,Maryland,106,15157,34,furniture,710651.4812,3585375.792
24000,Maryland,107,241709,29645,manufacturing_other,245234.5955,3585375.792
24000,Maryland,108,964,5107,metal_basic,643096.4444,3585375.792
24000,Maryland,109,7224,333,metal_machinery,1140434.235,3585375.792
24000,Maryland,110,8695,634,metal_products,781591.6691,3585375.792
24000,Maryland,111,10767,268,mineral,346305.5571,3585375.792
24000,Maryland,113,26348,66,paper,1453345.662,3585375.792
24000,Maryland,114,34737,2425,petrochemicals,1451592.993,3585375.792
24000,Maryland,116,16207694,133,services,86920501.63,3585375.792
24000,Maryland,117,34342,36,textiles,351605.6418,3585375.792
24000,Maryland,118,10806,0,utilities,797323.46,3585375.792
24000,Maryland,119,240106,128,vehicles_other,610364.6973,3585375.792
25000,Massachusetts,101,27963,18,agriculture,1080677.841,3961315.545
25000,Massachusetts,102,40785,28955,automotive,566138.6104,3961315.545
25000,Massachusetts,103,498955,12,construction,5359624.691,3961315.545
25000,Massachusetts,104,233974,12487,electronics,1495060.882,3961315.545
25000,Massachusetts,105,764525,1094,food,1483030.717,3961315.545
25000,Massachusetts,106,15664,34,furniture,710651.4812,3961315.545
25000,Massachusetts,107,563600,29645,manufacturing_other,245234.5955,3961315.545
25000,Massachusetts,108,2941,5107,metal_basic,643096.4444,3961315.545
25000,Massachusetts,109,17654,333,metal_machinery,1140434.235,3961315.545
25000,Massachusetts,110,33719,634,metal_products,781591.6691,3961315.545
25000,Massachusetts,111,14100,268,mineral,346305.5571,3961315.545
25000,Massachusetts,113,71165,66,paper,1453345.662,3961315.545
25000,Massachusetts,114,48053,2425,petrochemicals,1451592.993,3961315.545
25000,Massachusetts,116,20725581,133,services,86920501.63,3961315.545
25000,Massachusetts,117,48880,36,textiles,351605.6418,3961315.545
25000,Massachusetts,118,12218,0,utilities,797323.46,3961315.545
25000,Massachusetts,119,265210,128,vehicles_other,610364.6973,3961315.545
26000,Michigan,101,130145,18,agriculture,1080677.841,5327281.96
26000,Michigan,102,234921,28955,automotive,566138.6104,5327281.96
26000,Michigan,103,542182,12,construction,5359624.691,5327281.96
26000,Michigan,104,173713,12487,electronics,1495060.882,5327281.96
26000,Michigan,105,903449,1094,food,1483030.717,5327281.96
26000,Michigan,106,36481,34,furniture,710651.4812,5327281.96
26000,Michigan,107,1291398,29645,manufacturing_other,245234.5955,5327281.96
26000,Michigan,108,22510,5107,metal_basic,643096.4444,5327281.96
26000,Michigan,109,74666,333,metal_machinery,1140434.235,5327281.96
26000,Michigan,110,84860,634,metal_products,781591.6691,5327281.96
26000,Michigan,111,53808,268,mineral,346305.5571,5327281.96
26000,Michigan,113,60449,66,paper,1453345.662,5327281.96
26000,Michigan,114,68248,2425,petrochemicals,1451592.993,5327281.96
26000,Michigan,116,24141624,133,services,86920501.63,5327281.96
26000,Michigan,117,45591,36,textiles,351605.6418,5327281.96
26000,Michigan,118,20577,0,utilities,797323.46,5327281.96
26000,Michigan,119,312313,128,vehicles_other,610364.6973,5327281.96
27000,Minnesota,101,155766,18,agriculture,1080677.841,3543021.9
27000,Minnesota,102,37169,28955,automotive,566138.6104,3543021.9
27000,Minnesota,103,373632,12,construction,5359624.691,3543021.9
27000,Minnesota,104,161056,12487,electronics,1495060.882,3543021.9
27000,Minnesota,105,566798,1094,food,1483030.717,3543021.9
27000,Minnesota,106,20365,34,furniture,710651.4812,3543021.9
27000,Minnesota,107,711833,29645,manufacturing_other,245234.5955,3543021.9
27000,Minnesota,108,6550,5107,metal_basic,643096.4444,3543021.9
27000,Minnesota,109,34348,333,metal_machinery,1140434.235,3543021.9
27000,Minnesota,110,44509,634,metal_products,781591.6691,3543021.9
27000,Minnesota,111,33770,268,mineral,346305.5571,3543021.9
27000,Minnesota,113,69248,66,paper,1453345.662,3543021.9
27000,Minnesota,114,30538,2425,petrochemicals,1451592.993,3543021.9
27000,Minnesota,116,15977722,133,services,86920501.63,3543021.9
27000,Minnesota,117,30704,36,textiles,351605.6418,3543021.9
27000,Minnesota,118,13486,0,utilities,797323.46,3543021.9
27000,Minnesota,119,233672,128,vehicles_other,610364.6973,3543021.9
28000,Mississippi,101,86822,18,agriculture,1080677.841,1578602.004
28000,Mississippi,102,20581,28955,automotive,566138.6104,1578602.004
28000,Mississippi,103,178943,12,construction,5359624.691,1578602.004
28000,Mississippi,104,42104,12487,electronics,1495060.882,1578602.004
28000,Mississippi,105,300086,1094,food,1483030.717,1578602.004
28000,Mississippi,106,23664,34,furniture,710651.4812,1578602.004
28000,Mississippi,107,303418,29645,manufacturing_other,245234.5955,1578602.004
28000,Mississippi,108,3451,5107,metal_basic,643096.4444,1578602.004
28000,Mississippi,109,12475,333,metal_machinery,1140434.235,1578602.004
28000,Mississippi,110,10290,634,metal_products,781591.6691,1578602.004
28000,Mississippi,111,36627,268,mineral,346305.5571,1578602.004
28000,Mississippi,113,18024,66,paper,1453345.662,1578602.004
28000,Mississippi,114,18022,2425,petrochemicals,1451592.993,1578602.004
28000,Mississippi,116,6794639,133,services,86920501.63,1578602.004
28000,Mississippi,117,16518,36,textiles,351605.6418,1578602.004
28000,Mississippi,118,8311,0,utilities,797323.46,1578602.004
28000,Mississippi,119,126938,128,vehicles_other,610364.6973,1578602.004
29000,Missouri,101,199707,18,agriculture,1080677.841,3593356.2
29000,Missouri,102,46066,28955,automotive,566138.6104,3593356.2
29000,Missouri,103,395055,12,construction,5359624.691,3593356.2
29000,Missouri,104,134964,12487,electronics,1495060.882,3593356.2
29000,Missouri,105,632797,1094,food,1483030.717,3593356.2
29000,Missouri,106,16536,34,furniture,710651.4812,3593356.2
29000,Missouri,107,576966,29645,manufacturing_other,245234.5955,3593356.2
29000,Missouri,108,7655,5107,metal_basic,643096.4444,3593356.2
29000,Missouri,109,26667,333,metal_machinery,1140434.235,3593356.2
29000,Missouri,110,30450,634,metal_products,781591.6691,3593356.2
29000,Missouri,111,27149,268,mineral,346305.5571,3593356.2
