GeoFips,GeoName,deno code,2017 employment by industry,2017 robot data,industry_ifr19,2010 employment by industry,2010employment by state
19000,Iowa,113,29118,49,paper,1453345.662,2034965.14
19000,Iowa,114,23166,2972,petrochemicals,1451592.993,2034965.14
19000,Iowa,116,8747574,93,services,86920501.63,2034965.14
19000,Iowa,117,13648,0,textiles,351605.6418,2034965.14
19000,Iowa,118,6772,29,utilities,797323.46,2034965.14
19000,Iowa,119,146349,84,vehicles_other,610364.6973,2034965.14
20000,Kansas,101,122166,0,agriculture,1080677.841,1857379.818
20000,Kansas,102,21443,36573,automotive,566138.6104,1857379.818
20000,Kansas,103,197794,9,construction,5359624.691,1857379.818
20000,Kansas,104,54142,13696,electronics,1495060.882,1857379.818
20000,Kansas,105,307873,1598,food,1483030.717,1857379.818
20000,Kansas,106,10104,61,furniture,710651.4812,1857379.818
20000,Kansas,107,355130,34863,manufacturing_other,245234.5955,1857379.818
20000,Kansas,108,1739,5939,metal_basic,643096.4444,1857379.818
20000,Kansas,109,19758,234,metal_machinery,1140434.235,1857379.818
20000,Kansas,110,16061,967,metal_products,781591.6691,1857379.818
20000,Kansas,111,86762,296,mineral,346305.5571,1857379.818
20000,Kansas,113,16478,49,paper,1453345.662,1857379.818
20000,Kansas,114,18498,2972,petrochemicals,1451592.993,1857379.818
20000,Kansas,116,8247428,93,services,86920501.63,1857379.818
20000,Kansas,117,14095,0,textiles,351605.6418,1857379.818
20000,Kansas,118,6840,29,utilities,797323.46,1857379.818
20000,Kansas,119,166882,84,vehicles_other,610364.6973,1857379.818
21000,Kentucky,101,166009,0,agriculture,1080677.841,2412688.052
21000,Kentucky,102,94196,36573,automotive,566138.6104,2412688.052
21000,Kentucky,103,275988,9,construction,5359624.691,2412688.052
21000,Kentucky,104,71984,13696,electronics,1495060.882,2412688.052
21000,Kentucky,105,444110,1598,food,1483030.717,2412688.052
21000,Kentucky,106,10530,61,furniture,710651.4812,2412688.052
21000,Kentucky,107,542463,34863,manufacturing_other,245234.5955,2412688.052
21000,Kentucky,108,11950,5939,metal_basic,643096.4444,2412688.052
21000,Kentucky,109,21052,234,metal_machinery,1140434.235,2412688.052
21000,Kentucky,110,22066,967,metal_products,781591.6691,2412688.052
21000,Kentucky,111,44247,296,mineral,346305.5571,2412688.052
21000,Kentucky,113,35691,49,paper,1453345.662,2412688.052
21000,Kentucky,114,32840,2972,petrochemicals,1451592.993,2412688.052
21000,Kentucky,116,10705068,93,services,86920501.63,2412688.052
21000,Kentucky,117,20685,0,textiles,351605.6418,2412688.052
21000,Kentucky,118,7019,29,utilities,797323.46,2412688.052
21000,Kentucky,119,244998,84,vehicles_other,610364.6973,2412688.052
22000,Louisiana,101,74525,0,agriculture,1080677.841,2552288.436
22000,Louisiana,102,32797,36573,automotive,566138.6104,2552288.436
22000,Louisiana,103,432961,9,construction,5359624.691,2552288.436
22000,Louisiana,104,65301,13696,electronics,1495060.882,2552288.436
22000,Louisiana,105,512266,1598,food,1483030.717,2552288.436
22000,Louisiana,106,9157,61,furniture,710651.4812,2552288.436
22000,Louisiana,107,311334,34863,manufacturing_other,245234.5955,2552288.436
22000,Louisiana,108,3619,5939,metal_basic,643096.4444,2552288.436
22000,Louisiana,109,13674,234,metal_machinery,1140434.235,2552288.436
22000,Louisiana,110,18341,967,metal_products,781591.6691,2552288.436
22000,Louisiana,111,129133,296,mineral,346305.5571,2552288.436
22000,Louisiana,113,22600,49,paper,1453345.662,2552288.436
22000,Louisiana,114,46485,2972,petrochemicals,1451592.993,2552288.436
22000,Louisiana,116,11848881,93,services,86920501.63,2552288.436
22000,Louisiana,117,24175,0,textiles,351605.6418,2552288.436
22000,Louisiana,118,8903,29,utilities,797323.46,2552288.436
22000,Louisiana,119,178519,84,vehicles_other,610364.6973,2552288.436
23000,Maine,101,31913,0,agriculture,1080677.841,799673.322
23000,Maine,102,11661,36573,automotive,566138.6104,799673.322
23000,Maine,103,117089,9,construction,5359624.691,799673.322
23000,Maine,104,20685,13696,electronics,1495060.882,799673.322
23000,Maine,105,156355,1598,food,1483030.717,799673.322
23000,Maine,106,3571,61,furniture,710651.4812,799673.322
23000,Maine,107,118310,34863,manufacturing_other,245234.5955,799673.322
23000,Maine,109,2391,234,metal_machinery,1140434.235,799673.322
23000,Maine,110,5223,967,metal_products,781591.6691,799673.322
23000,Maine,111,3243,296,mineral,346305.5571,799673.322
23000,Maine,113,14959,49,paper,1453345.662,799673.322
23000,Maine,114,7314,2972,petrochemicals,1451592.993,799673.322
23000,Maine,116,3693726,93,services,86920501.63,799673.322
23000,Maine,117,9834,0,textiles,351605.6418,799673.322
23000,Maine,118,1838,29,utilities,797323.46,799673.322
23000,Maine,119,53394,84,vehicles_other,610364.6973,799673.322
24000,Maryland,101,36992,0,agriculture,1080677.841,3585375.792
24000,Maryland,102,41627,36573,automotive,566138.6104,3585375.792
24000,Maryland,103,494757,9,construction,5359624.691,3585375.792
24000,Maryland,104,120593,13696,electronics,1495060.882,3585375.792
24000,Maryland,105,603597,1598,food,1483030.717,3585375.792
24000,Maryland,106,15662,61,furniture,710651.4812,3585375.792
24000,Maryland,107,249229,34863,manufacturing_other,245234.5955,3585375.792
24000,Maryland,108,871,5939,metal_basic,643096.4444,3585375.792
24000,Maryland,109,7283,234,metal_machinery,1140434.235,3585375.792
24000,Maryland,110,8739,967,metal_products,781591.6691,3585375.792
24000,Maryland,111,10094,296,mineral,346305.5571,3585375.792
24000,Maryland,113,27709,49,paper,1453345.662,3585375.792
24000,Maryland,114,36527,2972,petrochemicals,1451592.993,3585375.792
24000,Maryland,116,16568266,93,services,86920501.63,3585375.792
24000,Maryland,117,34883,0,textiles,351605.6418,3585375.792
24000,Maryland,118,10688,29,utilities,797323.46,3585375.792
24000,Maryland,119,289676,84,vehicles_other,610364.6973,3585375.792
25000,Massachusetts,101,26904,0,agriculture,1080677.841,3961315.545
25000,Massachusetts,102,42621,36573,automotive,566138.6104,3961315.545
25000,Massachusetts,103,527068,9,construction,5359624.691,3961315.545
25000,Massachusetts,104,237534,13696,electronics,1495060.882,3961315.545
25000,Massachusetts,105,799388,1598,food,1483030.717,3961315.545
25000,Massachusetts,106,16029,61,furniture,710651.4812,3961315.545
25000,Massachusetts,107,555736,34863,manufacturing_other,245234.5955,3961315.545
25000,Massachusetts,108,2800,5939,metal_basic,643096.4444,3961315.545
25000,Massachusetts,109,17585,234,metal_machinery,1140434.235,3961315.545
25000,Massachusetts,110,32959,967,metal_products,781591.6691,3961315.545
25000,Massachusetts,111,11615,296,mineral,346305.5571,3961315.545
25000,Massachusetts,113,71756,49,paper,1453345.662,3961315.545
25000,Massachusetts,114,48157,2972,petrochemicals,1451592.993,3961315.545
25000,Massachusetts,116,21354047,93,services,86920501.63,3961315.545
25000,Massachusetts,117,49698,0,textiles,351605.6418,3961315.545
25000,Massachusetts,118,12788,29,utilities,797323.46,3961315.545
25000,Massachusetts,119,327114,84,vehicles_other,610364.6973,3961315.545
26000,Michigan,101,120613,0,agriculture,1080677.841,5327281.96
26000,Michigan,102,251207,36573,automotive,566138.6104,5327281.96
26000,Michigan,103,579461,9,construction,5359624.691,5327281.96
26000,Michigan,104,174526,13696,electronics,1495060.882,5327281.96
26000,Michigan,105,949955,1598,food,1483030.717,5327281.96
26000,Michigan,106,38556,61,furniture,710651.4812,5327281.96
26000,Michigan,107,1359656,34863,manufacturing_other,245234.5955,5327281.96
26000,Michigan,108,22609,5939,metal_basic,643096.4444,5327281.96
26000,Michigan,109,76938,234,metal_machinery,1140434.235,5327281.96
26000,Michigan,110,82754,967,metal_products,781591.6691,5327281.96
26000,Michigan,111,45016,296,mineral,346305.5571,5327281.96
26000,Michigan,113,58592,49,paper,1453345.662,5327281.96
26000,Michigan,114,70578,2972,petrochemicals,1451592.993,5327281.96
26000,Michigan,116,24671810,93,services,86920501.63,5327281.96
26000,Michigan,117,44627,0,textiles,351605.6418,5327281.96
26000,Michigan,118,20788,29,utilities,797323.46,5327281.96
26000,Michigan,119,341519,84,vehicles_other,610364.6973,5327281.96
27000,Minnesota,101,148668,0,agriculture,1080677.841,3543021.9
27000,Minnesota,102,38602,36573,automotive,566138.6104,3543021.9
27000,Minnesota,103,384472,9,construction,5359624.691,3543021.9
27000,Minnesota,104,159106,13696,electronics,1495060.882,3543021.9
27000,Minnesota,105,592495,1598,food,1483030.717,3543021.9
27000,Minnesota,106,20768,61,furniture,710651.4812,3543021.9
27000,Minnesota,107,718429,34863,manufacturing_other,245234.5955,3543021.9
27000,Minnesota,108,6084,5939,metal_basic,643096.4444,3543021.9
27000,Minnesota,109,34161,234,metal_machinery,1140434.235,3543021.9
27000,Minnesota,110,43962,967,metal_products,781591.6691,3543021.9
27000,Minnesota,111,31681,296,mineral,346305.5571,3543021.9
27000,Minnesota,113,68017,49,paper,1453345.662,3543021.9
27000,Minnesota,114,33077,2972,petrochemicals,1451592.993,3543021.9
27000,Minnesota,116,16295515,93,services,86920501.63,3543021.9
27000,Minnesota,117,30447,0,textiles,351605.6418,3543021.9
27000,Minnesota,118,12918,29,utilities,797323.46,3543021.9
27000,Minnesota,119,265564,84,vehicles_other,610364.6973,3543021.9
28000,Mississippi,101,84656,0,agriculture,1080677.841,1578602.004
28000,Mississippi,102,21215,36573,automotive,566138.6104,1578602.004
28000,Mississippi,103,179534,9,construction,5359624.691,1578602.004
28000,Mississippi,104,38962,13696,electronics,1495060.882,1578602.004
28000,Mississippi,105,319463,1598,food,1483030.717,1578602.004
28000,Mississippi,106,23339,61,furniture,710651.4812,1578602.004
28000,Mississippi,107,310012,34863,manufacturing_other,245234.5955,1578602.004
28000,Mississippi,108,3732,5939,metal_basic,643096.4444,1578602.004
28000,Mississippi,109,12581,234,metal_machinery,1140434.235,1578602.004
28000,Mississippi,110,10365,967,metal_products,781591.6691,1578602.004
28000,Mississippi,111,29460,296,mineral,346305.5571,1578602.004
28000,Mississippi,113,18283,49,paper,1453345.662,1578602.004
28000,Mississippi,114,17874,2972,petrochemicals,1451592.993,1578602.004
28000,Mississippi,116,6901894,93,services,86920501.63,1578602.004
28000,Mississippi,117,17371,0,textiles,351605.6418,1578602.004
28000,Mississippi,118,8425,29,utilities,797323.46,1578602.004
28000,Mississippi,119,128483,84,vehicles_other,610364.6973,1578602.004
29000,Missouri,101,195293,0,agriculture,1080677.841,3593356.2
29000,Missouri,102,72659,36573,automotive,566138.6104,3593356.2
29000,Missouri,103,419300,9,construction,5359624.691,3593356.2
29000,Missouri,104,133084,13696,electronics,1495060.882,3593356.2
29000,Missouri,105,660582,1598,food,1483030.717,3593356.2
29000,Missouri,106,17370,61,furniture,710651.4812,3593356.2
29000,Missouri,107,590133,34863,manufacturing_other,245234.5955,3593356.2
29000,Missouri,108,6654,5939,metal_basic,643096.4444,3593356.2
29000,Missouri,109,27124,234,metal_machinery,1140434.235,3593356.2
29000,Missouri,110,30855,967,metal_products,781591.6691,3593356.2
