,Importance,Level,Job Zone,Code,Occupation
833,0,Not relevant,3,15-1241.01,Telecommunications Engineering Specialists
834,0,Not relevant,2,41-9041.00,Telemarketers
835,0,Not relevant,2,43-2021.00,Telephone Operators
836,0,Not relevant,2,43-3071.00,Tellers
837,0,Not relevant,2,51-2061.00,Timing Device Assemblers and Adjusters
838,0,Not relevant,2,23-2093.00,"Title Examiners, Abstractors, and Searchers"
839,0,Not relevant,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
840,0,Not relevant,3,39-7011.00,Tour Guides and Escorts
841,0,Not relevant,3,53-6041.00,Traffic Technicians
842,0,Not relevant,4,11-3131.00,Training and Development Managers
843,0,Not relevant,4,13-1151.00,Training and Development Specialists
844,0,Not relevant,3,33-3052.00,Transit and Railroad Police
845,0,Not relevant,4,17-2051.01,Transportation Engineers
846,0,Not relevant,4,53-6051.00,Transportation Inspectors
847,0,Not relevant,4,19-3099.01,Transportation Planners
848,0,Not relevant,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
849,0,Not relevant,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
850,0,Not relevant,3,41-3041.00,Travel Agents
851,0,Not relevant,2,39-7012.00,Travel Guides
852,0,Not relevant,4,11-3031.01,Treasurers and Controllers
853,0,Not relevant,3,25-3041.00,Tutors
854,0,Not relevant,5,19-3051.00,Urban and Regional Planners
855,0,Not relevant,5,29-1229.03,Urologists
856,0,Not relevant,2,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
857,0,Not relevant,4,17-2112.02,Validation Engineers
858,0,Not relevant,3,29-2056.00,Veterinary Technologists and Technicians
859,0,Not relevant,4,15-1255.01,Video Game Designers
860,0,Not relevant,3,49-9064.00,Watch and Clock Repairers
861,0,Not relevant,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
862,0,Not relevant,4,11-9121.02,Water Resource Specialists
863,0,Not relevant,4,17-2051.02,Water/Wastewater Engineers
864,0,Not relevant,4,15-1299.01,Web Administrators
865,0,Not relevant,3,15-1254.00,Web Developers
866,0,Not relevant,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
867,0,Not relevant,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
868,0,Not relevant,4,11-9199.10,Wind Energy Development Managers
869,0,Not relevant,4,17-2199.10,Wind Energy Engineers
870,0,Not relevant,3,11-9199.09,Wind Energy Operations Managers
871,0,Not relevant,2,43-9022.00,Word Processors and Typists
872,0,Not relevant,4,19-1023.00,Zoologists and Wildlife Biologists
